"category","sub-category","sub-sub-category","serial number","Price ($)","diameter (in.)","max cfm","fan type","drive type","description","url"
"Agriculture","Cabinet Wall Exhaust","na","TE-SLW36136",1429,36,10125,"Axial","Belt","Slant Wall Agricultural / Barn Fan (Belt Drive): 36 in. 6-Wing Blade Diameter (10,125 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-SLW3613D",1259,36,10220,"Axial","Direct","Slant Wall Agricultural / Barn Fan (Direct Drive): 36 in. 3-Wing Blade Diameter (10,220 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG3613D",569,36,11100,"Axial","Direct","Agricultural Box Fan (direct drive): 36 in. 3-Wing  Blade - 16 in depth (11,100CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG3613D-20",639,36,11100,"Axial","Direct","Agricultural Box Fan (direct drive): 36 in. 3-Wing  Blade - 20 in depth (11,100 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG3613",739,36,11230,"Axial","Direct","Agricultural Box Fan (belt drive): 36 in. 4-Wing Blade - 20 in depth (11,230 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG36136",849,36,11010,"Axial","Belt","Agricultural Box Fan (belt drive): 36 in. 6-Wing  Blade - 20 in depth (11,010 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-SLW4213",1239,42,12100,"Axial","Direct","Slant Wall Agricultural / Barn Fan (Belt Drive): 42 in. 4-Wing Blade Diameter (12,100 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-SLW4213D",1239,42,12207,"Axial","Direct","Slant Wall Agricultural / Barn Fan (Direct Drive): 42 in. 3-Wing Blade Diameter (12,207 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-SLW42136",1229,42,12580,"Axial","Belt","Slant Wall Agricultural / Barn Fan (Belt Drive): 42 in. 6-Wing Blade Diameter (12,580 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG42136",889,42,13680,"Axial","Belt","Agricultural Box Fan (belt drive): 42 in. 6-Wing Blade - 20 in depth (13,680 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG4213D",689,42,13060,"Axial","Direct","Agricultural Box Fan (direct drive): 42 in. 3-Wing Blade - 16 in depth (13,060 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
"Agriculture","Cabinet Wall Exhaust","na","TE-PFG4213",779,42,13640,"Axial","Direct","Agricultural Box Fan (belt drive): 42 in. 4-Wing Blade - 20 in depth (13,640 CFM)","http://www.industrialfansdirect.com/IND-FA-AF-S.html"
